,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_DISCIPLINE,COACH_NAME,COACH_COUNTRY,COACH_DISCIPLINE,COACH_EVENT,FEMALE_ENTRIES,MALE_ENTRIES,TOTAL_ENTRIES,TEAM_COUNTRY,GOLD_MEDALS,SILVER_MEDALS,BRONZE_MEDALS,TOTAL_MEDALS,RANK_BY_TOTAL
11652,REINKIND Harald,Norway,Handball,BERGE Christian,Norway,Handball,Men,168,168,336,Norway,4.0,2.0,2.0,8.0,29.0
11653,REINKIND Harald,Norway,Handball,BREIVIK Marit,Norway,Handball,,168,168,336,Norway,4.0,2.0,2.0,8.0,29.0
11654,REINKIND Harald,Norway,Handball,HERGEIRSSON Thorir,Norway,Handball,Women,168,168,336,Norway,4.0,2.0,2.0,8.0,29.0
11655,REINLE Cynthia,Switzerland,Athletics,,,,,969,1072,2041,Switzerland,3.0,4.0,6.0,13.0,20.0
11656,REINOSO Sofia,Mexico,Canoe Slalom,,,,,41,41,82,Mexico,0.0,0.0,4.0,4.0,47.0
11657,REISTAD Henny,Norway,Handball,BERGE Christian,Norway,Handball,Men,168,168,336,Norway,4.0,2.0,2.0,8.0,29.0
11658,REISTAD Henny,Norway,Handball,BREIVIK Marit,Norway,Handball,,168,168,336,Norway,4.0,2.0,2.0,8.0,29.0
11659,REISTAD Henny,Norway,Handball,HERGEIRSSON Thorir,Norway,Handball,Women,168,168,336,Norway,4.0,2.0,2.0,8.0,29.0
11660,REITSHAMMER Bernhard,Austria,Swimming,,,,,361,418,779,Austria,1.0,1.0,5.0,7.0,33.0
11661,REITZ Christian,Germany,Shooting,,,,,178,178,356,Germany,10.0,11.0,16.0,37.0,8.0
11662,REIZLIN Igor,Ukraine,Fencing,,,,,107,108,215,Ukraine,1.0,6.0,12.0,19.0,16.0
11663,REJEPOV Rejepbay,Turkmenistan,Weightlifting,,,,,98,99,197,Turkmenistan,0.0,1.0,0.0,1.0,77.0
11664,REMARENCO Ivan,United Arab Emirates,Judo,,,,,192,201,393,,,,,,
11665,REMILI Nedim,France,Handball,GILLE Guillaume,France,Handball,Men,168,168,336,France,10.0,12.0,11.0,33.0,10.0
11666,REMILI Nedim,France,Handball,KRUMBHOLZ Olivier,France,Handball,Women,168,168,336,France,10.0,12.0,11.0,33.0,10.0
11667,RENDSCHMIDT Max,Germany,Canoe Sprint,,,,,123,126,249,Germany,10.0,11.0,16.0,37.0,8.0
11668,RENE Marvin,France,Athletics,,,,,969,1072,2041,France,10.0,12.0,11.0,33.0,10.0
11669,RENGERUK Lilian Kasait,Kenya,Athletics,,,,,969,1072,2041,Kenya,4.0,4.0,2.0,10.0,25.0
11670,RENNIE Gabi,New Zealand,Football,HAY Danny,New Zealand,Football,Men,264,344,608,New Zealand,7.0,6.0,7.0,20.0,13.0
11671,RENNIE Gabi,New Zealand,Football,SERMANNI Tom,New Zealand,Football,Women,264,344,608,New Zealand,7.0,6.0,7.0,20.0,13.0
11672,RENSHALL Lucy,Great Britain,Judo,,,,,192,201,393,Great Britain,22.0,21.0,22.0,65.0,4.0
11673,RENSHAW Molly,Great Britain,Swimming,,,,,361,418,779,Great Britain,22.0,21.0,22.0,65.0,4.0
11674,REPACHOLI Daniel,Australia,Shooting,,,,,178,178,356,Australia,17.0,7.0,22.0,46.0,6.0
11675,REPISKA Martina,Slovakia,Badminton,,,,,86,87,173,Slovakia,1.0,2.0,1.0,4.0,47.0
11676,REPIYALLAGE Chamara,Sri Lanka,Judo,,,,,192,201,393,,,,,,
11677,RESHETNIKOV Veniamin,ROC,Fencing,,,,,107,108,215,ROC,20.0,28.0,23.0,71.0,3.0
11678,RESSEL Dominic,Germany,Judo,,,,,192,201,393,Germany,10.0,11.0,16.0,37.0,8.0
11679,RESTIVO Matteo,Italy,Swimming,,,,,361,418,779,Italy,10.0,10.0,20.0,40.0,7.0
11680,RESTREPO GARCIA Daniel,Colombia,Diving,,,,,72,71,143,Colombia,0.0,4.0,1.0,5.0,42.0
11681,RETEGUI Micaela,Argentina,Hockey,RETEGUI Carlos Jose,Argentina,Hockey,Men,192,192,384,Argentina,0.0,1.0,2.0,3.0,60.0
11682,RETEGUI Micaela,Argentina,Hockey,RETEGUI Carlos Jose,Argentina,Hockey,Women,192,192,384,Argentina,0.0,1.0,2.0,3.0,60.0
11683,RETO Paula,South Africa,Golf,,,,,60,60,120,South Africa,1.0,2.0,0.0,3.0,60.0
11684,RETORNAZ Aloise,France,Sailing,,,,,175,175,350,France,10.0,12.0,11.0,33.0,10.0
11685,RETZIUS Lene Onsrud,Norway,Athletics,,,,,969,1072,2041,Norway,4.0,2.0,2.0,8.0,29.0
11686,REUS Julian,Germany,Athletics,,,,,969,1072,2041,Germany,10.0,11.0,16.0,37.0,8.0
11687,REUSSER Marlen,Switzerland,Cycling Road,,,,,70,131,201,Switzerland,3.0,4.0,6.0,13.0,20.0
11688,REVISHVILI Irakli,Georgia,Swimming,,,,,361,418,779,Georgia,2.0,5.0,1.0,8.0,29.0
11689,REVOL Gaston,Argentina,Rugby Sevens,GOMEZ CORA Santiago,Argentina,Rugby Sevens,Men,146,151,297,Argentina,0.0,1.0,2.0,3.0,60.0
11690,REW Quentin,New Zealand,Athletics,,,,,969,1072,2041,New Zealand,7.0,6.0,7.0,20.0,13.0
